Numero,Municipio,Localidad,Nombre Localidad,Longitud,Latitud,Altitud,Población
3,Ahualulco de Mercado,1,Ahualulco de Mercado,1035830,204202,1320,15512
3,Ahualulco de Mercado,4,El Carmen (El Capulín),1035437,203910,1281,1557
3,Ahualulco de Mercado,7,Chapulimita (Chapuli),1035539,204504,1381,355
3,Ahualulco de Mercado,11,Falda del Aguacate (El Aguacate),1040118,204046,1450,1
3,Ahualulco de Mercado,19,La Mora (La Morita),1040204,204221,1460,109
3,Ahualulco de Mercado,20,Los Nogales,1035729,204121,1308,5
3,Ahualulco de Mercado,21,La Peña,1035359,204352,1372,42
3,Ahualulco de Mercado,28,Santa Cruz de Bárcenas (Santa Cruz),1040004,204007,1400,1546
3,Ahualulco de Mercado,29,El Saucillo,1035252,204449,1539,5
3,Ahualulco de Mercado,30,El Soltero,1035510,204530,1423,3
3,Ahualulco de Mercado,31,Teuchiteco,1040151,204018,1478,133
3,Ahualulco de Mercado,32,Tiro Patria,1040313,204057,1492,19
3,Ahualulco de Mercado,38,Portes Gil (San Ignacio),1035622,203932,1308,2353
3,Ahualulco de Mercado,39,Agua Blanca,1035317,204443,1515,1
3,Ahualulco de Mercado,43,Los Sauces,1040041,203855,1521,2
3,Ahualulco de Mercado,51,El Lechón [Granja Agropecuaria],1035705,204214,1320,10
3,Ahualulco de Mercado,54,Mazocaui [Granja],1035557,204137,1315,7
3,Ahualulco de Mercado,59,La Cofradía (Rancho los Parados),1035709,204146,1320,20
3,Ahualulco de Mercado,70,Felipe Medina,1035858,204233,1323,7
3,Ahualulco de Mercado,74,El Paraíso,1035530,204513,1415,1
3,Ahualulco de Mercado,80,Los Leones,1035937,204146,1335,4
3,Ahualulco de Mercado,82,Santa Cruz Dos [Granja],1035953,204102,1352,7
3,Ahualulco de Mercado,83,Santa Cruz Uno [Granja],1035942,204107,1346,3
3,Ahualulco de Mercado,86,Rancho Cuevas,1035928,204138,1333,3
3,Ahualulco de Mercado,96,El Trapiche,1035906,203830,1543,1
3,Ahualulco de Mercado,97,El Encanto,1035720,204206,1323,2
3,Ahualulco de Mercado,99,El Novillo,1035720,204157,1322,5
3,Ahualulco de Mercado,100,Loma Alta,1035558,204427,1375,1
